t,h,label,relatedness_score,sentence_h_en,sentence_t_en
رجل واحد يعزف على الجيتار,الرجل يعزف على الغيتار الصوتي,1,4.9,A man is playing the guitar,One man is playing the guitar
امرأة  لم تقطع الطماطم,رجل يقوم بقطع الطماطم إلى شرائح,0,3.1,A man is slicing a red tomato,A woman is slicing a tomato
بعض سائقي الدراجات الترابية القدامى يركبون دراجة ترابية فوق تل رملي,شاب يدفع دراجة بخارية فوق تلة ترابية,0,3.3,A young man is pushing a motocross bike up a dirt hill,Some old dirt bikers are getting a dirt bike up a sandy hill
أربعة رياضيين مع شخص في ملعب  مزدحم,أربعة رياضيين مع رجل في ملعب  مزدحم,1,4.7,Four athletes are with a man in a crowded stadium,Four athletes are with a person in a crowded stadium
يرقد كلب رمادي حريري على العشب وكلب بني ينظر,الكلب البني يكتشف كلبًا أسود ويلعب في العشب الجاف,0,2.4,The brown dog is spotting a black dog and is playing in the dry grass,A grey silky dog is lying in the grass and a brown dog is looking on
عائلة حزينة تقف بجانب المدفأة,عائلة سعيدة تقف بجانب المدفأة,0,3.5,A happy family is posing by the fireplace,A sad family is posing by the fireplace
وقالت امرأة أنها تقشر البطاطا,الشخص يعزف بحماس على الغيتار أمام جمهور,0,1.0,A person is passionately playing a guitar in front of an audience,A woman is peeling a potato
سيدة تركب الأمواج  تركب الموجة ,فتاة شقراء تلوح لنا و هي تركب الخيل ,0,2.3,A blond girl waves while she is riding,A lady is surfing and riding a wave
رجل يأكل الموز بجانب شجرة,رجل يأكل بشره الموز بجانب شجرة,1,4.5,The man is absently eating a banana by a tree,The man is eating a banana by a tree
رجل يعزف على الآلة الموسيقية,امرأة تقطع أخطبوط,0,1.0,A woman is slicing an octopus,A man is playing the instrument
صبي يرتدي معطفاً أزرق يحتجزه والده تحت مظلة,صبي تحت مظلة يحتجزه والده الذي يرتدي معطفًا أزرق,0,4.3,A boy under an umbrella is being held by his father who is wearing a blue coat,"A boy, who is wearing a blue coat, is being held by his father under an umbrella "
طفل أشقر ينزل على زلاجة ويلقي ذراعيه,فتاة صغيرة ترتدي قميصًا قلبًا ترفع يديها وهي تلعب على مزلقة,0,2.8,A young girl with a heart tank top is raising her hands as she is playing on a slide,A blond child is going down a slide and throwing up his arms
هناك رجل يلعب كرة القدم بمرح ,هناك رجل يعزف على البيانو,0,1.3,The man is playing a piano,A guy is cheerfully playing with a footbag
أربع فتيات يلعبون  في الهواء الطلق,أربع فتيات يلعبون   في الحديقة,1,4.1,Four girls are doing backbends and playing in the garden,Four girls are doing backbends and playing outdoors
الطبيب يساعد المريض,الأطباء يعملون على علاج رجل,1,4.2,The doctors are healing a man,The doctor is helping the patient
امرأة شابة يحمل الكثير من الأوشحة الملونة على الشاطئ,امرأة عجوز يحمل الكثير من الأوشحة الملونة على الشاطئ,0,4.2,An old woman is carrying a lot of colorful scarves on the beach,A young woman is carrying a lot of colorful scarves on the beach
الفتاة الصغيرة تتأرجح والمرأة تقف خلفها,طفل صغير يشعر بالملل على أرجوحة في الحديقة,0,3.0,A small child is showing boredom on a swing set at the park,The little girl is swinging and the woman is standing behind her
هناك شابة  تقفز على سيارة بتهور,هناك فتاة  تقفز على سيارة بتهور,1,4.9,One young lady is jumping on the car,One girl is jumping on the car
طفل صغير يتسلق جدارًا لتسلق الصخور في الداخل,طفل صغير يتسلق  على جدار تسلق الصخور التي هي في الداخل,1,4.7,A young child is climbing a rock climbing wall which is indoors,A young kid is climbing a rock climbing wall which is indoors
لا يوجد طفل أشقر يحمل زجاجة صفراء,طفل أشقر يحمل زجاجة صفراء,2,3.7,A blond child is holding a yellow bottle,There is no blond child holding a yellow bottle
رجل يفتح علبة صغيرة تحتوي على سماعات,امرأة تركب حصانًا,0,1.0,A woman is riding a horse,A man is opening a small package that contains headphones
وقالت امرأة تعزف على الفلوت ,المرأة تعزف على الفلوت ,1,5.0,The woman is playing a flute,A woman is playing a flute
طفلان لا يلعبان في الأمواج,طفل يتناثر في المحيط,0,3.2,A kid is splashing in the ocean,Two children are not playing in the surf
غزال يقفز فوق سياج الإعصار,غزال يقف داخل سياج,0,3.3,A deer is standing inside a fence,A deer is jumping over a cyclone fence
لاعب كرة قدم يرتدي شارات سوداء,لا يرتدي لاعب كرة القدم الأمريكي شريطة حمراء وبيضاء,0,3.4,The American footballer is not wearing a red and white strip,A football player is wearing black armbands
كلب أسود صغير يطارد كلبًا بنيًا صغيرًا,كلب بني وكلب أسود بعيدان عن العشب,0,2.5,A brown dog and a black dog are far from the grass,A little black dog is chasing a little brown dog
رجل وتشارك في سباق للbmxs,رجل يشارك في سباق BMX,1,4.7,A man is participating in a bmx race,A man is participating in a race for bmxs
شخص يجلس في حقل ويرتدي قبعة,شخص يرتدي قبعة ويجلس على العشب,0,4.1,A person is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat
كلبان يتقاتلان من أجل قرص مضغوط في بحيرة,لا توجد كلاب تقاتل من أجل لعبة طائر في البحيرة,2,4.4,There are no dogs fighting for a frisbee in a lake,Two dogs are fighting for a frisbee in a lake
لا يوجد امرأة يقبلها الرجل,يتم تقبيل المرأة من قبل الرجل,2,4.2,A woman is being kissed by a man,There is no woman being kissed by a man
راكب الدراجة يبحث عن حادث لراكب دراجة آخر,شخص ينظر إلى دراجة مصممة للموتوكروس مستلقية على جانبها وآخر يتسابق بها,0,3.1,A person is looking at a bike designed for motocross that is lying on its side and another is racing by,The bike rider is looking at an accident of another bike rider
طفل صغير يقفز في الماء,صبي صغير يقفز في الماء,1,4.9,A young boy is jumping into water,A young kid is jumping into water
وقالت امرأة أنها قطعت البصل,امرأة قطعت بصلة,1,4.8,A woman is slicing an onion,A woman is cutting an onion
الرجال يضعون حقائب في صندوق سيارة,الرجال لا يضعون حقائب في صندوق سيارة,2,3.6,The men are not putting suitcases into the trunk of a car ,The men are putting suitcases into the trunk of a car
رجل يمسك ضفدع,المرأة ليست تمسك ضفدع ,0,3.6,The woman is not handling a frog,A man is holding a frog
امرأة تعصر الليمون,ليس هناك امرأة تعصر الليمون,2,3.7,There is no woman squeezing juice out of a lemon,A woman is squeezing a lemon
صبي أشقر باللون الأخضر يجلس على أرجوحة,شقراء باللون الأخضر تجلس بجانب صبي يتأرجح,0,3.1,A blonde in green is sitting by a swinging boy,A blonde boy in green is sitting on a swing
القطة الجاثمة على الطاولة تنظر من النافذة,القطة الجاثمة على الطاولة لا تنظر من النافذة,2,3.7,The cat perched on the table isn't looking out the window,The cat perched on the table is looking out the window
كلب يجري على الشاطئ,كلب يجري على شاطئ البحر,1,4.6,A dog is running on the sea shore,A dog is running on the beach
رجل يتسلق  على الحبل,واحد الباندا تسلق,0,1.6,One panda is climbing,A man is climbing a rope
الشرطي يجلس على دراجة شرطة,الشرطي يجلس على دراجة الشرطة,1,4.8,The cop is sitting on a police bike,The cop is sitting on a police bicycle
رجل يقطع البطاطا إلى شرائح,رجل يأكل شرائح البطاطس,0,3.6,The man is eating potato slices,The man is slicing potatoes
صبي أشقر باللون الأخضر يجلس على أرجوحة,طفل أشقر باللون الأخضر يجلس على أرجوحة,1,4.8,A blond kid in green is sitting on a swing,A blonde boy in green is sitting on a swing
عاملان بناء يجلسان على جانب أحد المباني,رجلان لا يأخذان استراحة من البناء,0,3.5,Two men are not taking a break from construction,Two construction workers are sitting up on the side of a building
وقالت امرأة أنها قطعت البطاطا,امرأة قطعت بصلة,0,2.7,A woman is slicing an onion,A woman is cutting a potato
فتاة صغيرة ترتدي ثيابًا ملونة بالأزرق تقفز في الهواء,فتاة صغيرة في ثوب أزرق تقفز في الهواء,1,5.0,A young girl in a blue leotard is jumping in the air,A young girl in a leotard colored in blue is jumping in the air
وقالت امرأة أنها قطعت الثوم,امرأة  لم تقطع الثوم,1,4.9,A woman is slicing garlic,A woman is cutting garlic
المرأة قطع  الأخطبوط المطبوخة,ليس هناك امرأة قطع الأخطبوط,2,3.5,There is no woman chopping up an octopus,The woman is cutting cooked octopus
الناس ملثمين يبحثون في نفس الاتجاه في غابة,مجموعة أشخاص يرتدون أزياء تنكرية تجمعوا في الغابة و ينظرون  في نفس الاتجاه,1,4.4,People wearing costumes are gathering in a forest and are looking in the same direction,Masked people are looking in the same direction in a forest
ثلاثة رجال يمارسون الكاراتيه في الهواء الطلق,ثلاثة رجال يمارسون الكاراتيه في حقل,1,4.5,Three men are practicing karate in a field,Three men are practicing karate outdoors
امرأة تقطع أخطبوط,لا يوجد رجل يعزف على الجيتار,0,1.0,There is no man playing the guitar,A woman is slicing an octopus
صبي عارٍ يجلس على ركبتيه في قاع تلة مغطاة بالثلوج,الطفل ينزلق في الثلج,0,2.7,The kid is sliding in the snow,A boy at the bottom of a hill covered in snow is naked and is sitting on his knees
رجل عجوز ذو لحية رمادية يركب دراجة,امرأة ترتدي قبعة وركوب الدراجة في مسار استجمام,0,2.7,A woman is wearing a beret and is riding the bicycle on a recreation trail,An old man with a grey beard is riding a bike
لم تقطع المرأة البصل,المرأة قطع  جزرة,0,2.9,The woman is cutting a carrot,There is no woman slicing an onion
يتم إضافة قطع الزبدة إلى الخلاط,رجل يقطع قطع الزبدة في وعاء للخلط,1,4.0,A man is cutting pieces of butter into a mixing bowl,Pieces of butter are being added to the stand mixer
الصبي يركض عبر أمواج المحيط,يقوم الرجال بتعبئة حقائبهم في صندوق السيارة,0,1.0,The men are packing suitcases into the trunk of a car,The young boy is running through the ocean waves
رجل يخرج من الماء,رجل يسير في الماء,0,3.1,A man is going into the water,A man is coming out of the water
وقالت امرأة  وضع وعاء مع وجود صدع قرب بيضة,المرأة كسرت اثنين من البيض في وعاء زجاجي,0,3.0,The woman is cracking two eggs into a glass bowl,A woman is placing a bowl with a crack near an egg
القطة تلعق زجاجة,قطة تلعب بزجاجة صغيرة,0,3.5,A cat is playing with a small bottle,A bottle is being licked by the cat
امرأة تجلس على العشب وتشرب من قنينة ماء,لاعب كرة قدم جالس في الملعب ويشرب الماء,0,3.3,A soccer player is sitting on the field and is drinking water,A woman is sitting on the grass and is drinking from a water bottle
ممارس كاراتيه يركل رجلاً آخر يرتدي قفازات واقية للملاكمة,ممارس كاراتيه يركل رجلاً آخر يرتدي قفازات الملاكمة الواقية,2,2.9,There is no person boiling noodles,A woman is boiling noodles in water
شخص بلا قميص يقفز عالياً فوق العشب الأخضر,الشخص الذي يرتدي القميص الأخضر يقفز عالياً فوق العشب,2,3.6,A person with a green shirt is jumping high over the grass,A person without shirt is jumping high over the green grass
وقالت امرأة  تركب الخيل ,وليس هناك رجل يركب الحصان,0,3.1,There is no man riding a horse,A woman is riding a horse
لا أحد يطفو على طوف,أربعة أشخاص يطفو على طوف,2,4.15,Four people are floating on a raft,Nobody is floating on a raft
صبي يقف أمام المبنى الأزرق في المساحة المحجوزة للمعوقين.,ليس هناك صبي يقف أمام المبنى الأزرق في المساحة المحجوزة للمعوقين.,2,4.1,There is no boy standing in front of the blue building in the space reserved for handicapped people,A boy is standing in front of the blue building in the space reserved for handicapped people
كلب يضع رأسه داخل كيس هدايا أحمر وأخضر,الكلب له رأسه داخل كيس هدايا أحمر وأخضر,1,5.0,The dog has its head inside a red and green gift bag,A dog has its head inside a red and green gift bag
رجل يقوم بتمارين,الرجل يقوم بتمارين أرضية,1,4.3,The man is doing floor exercises,A man is doing exercises
بعض القطط يأكلون,القطط وتناول الطعام على صواني,1,4.7,The kittens are eating the food on the trays,Some kittens are eating
سلحفاة بحرية تبحث عن الأسماك,سمكة تبحث عن سلحفاة في البحر,0,3.9,A fish is hunting for a turtle in the sea,A sea turtle is hunting for fish
كلب أسود يقفز من قش أسطواني,كلب أسود يقفز من قش أسطواني,1,4.9,A black dog is jumping from a cylindrical hay bale,A black dog is leaping from a cylindrical hay bale
تتشبث نحلة بزهرة صفراء,نحلة تتشبث بزهرة صفراء,1,4.6,A bee is clinging to a yellow flower,A yellow flower is being clung to by a bee
بطة بنية برأس أخضر ترفرف بجناحيها في الماء,لا توجد بطة بنية برأس أخضر ترفرف بجناحيها في الماء,2,3.0,There is no brown duck with a green head flapping its wings in the water,A brown duck with a green head is flapping its wings in the water
ليس هناك رجل يعزف  على الغيتار,الرجل يعزف على الغيتار,2,4.2,The man is playing an acoustic guitar,There is no man playing the guitar
يرقص الرجل الأبيض ذو العضلات القوية والرجل الذي يقف خلفه يرتدي خرزًا أخضر,يقف الرجل الذي يرتدي سروالًا قصيرًا مخططًا ونظارة شمسية بالقرب من رجل يرتدي قميصًا أبيض ونظارة شمسية,0,2.1,The shirtless man in striped shorts and sunglasses is standing near a man in a white shirt and sunglasses,The muscular white man is dancing and the man behind him is wearing green beads
شخص يغني  واللعب على الغيتار,رجل يعزف بحماس على الغيتار,0,4.2,A man is passionately playing a guitar,A person is singing and playing a guitar
رجل يجلس القرفصاء ويأخذ صورة,فتاة ترتدي فستاناً  أرجواني  تحمل سجادة,0,1.0,A girl in gold and purple is holding a rainbow afghan,A man is squatting in brush and taking a photo
قرد  سحب ذيل الكلب,ليس هناك قرد سحب ذيل الكلب,2,3.4,There is no monkey pulling a dog's tail,A monkey is pulling a dog's tail
يرتدي الصبي النظارات الشمسية,يرتدي الصبي ذو الوجه السمين نظارة شمسية,1,4.5,A chubby faced boy is wearing sunglasses,Sunglasses are being worn by a boy
وليس هناك رجل تلعب لعبة على العشب,الرجل تلعب لعبة على العشب,2,3.6,The man is playing a game on the grass,There is no man playing a game on the grass
وقالت امرأة  أنها خلطت البيض,المرأة تخفق البيض ,1,4.5,A woman is amalgamating eggs,A woman is mixing eggs
شخص يعزف على البوق ,رجل يعزف على الغيتار,0,2.5,A man is playing the guitar owner,A person is playing a trumpet
رجل يثبت كاتم الصوت في بندقية,لا يوجد رجل يثبت كاتم الصوت في البندقية,2,4.0,There is no man fixing a silencer to a gun,A man is fixing a silencer to a gun
رجل في قبعة يعزف على القيثارة,رجل رمي بعيدا الغيتار,0,2.3,A man is throwing away a guitar,A man in a hat is playing a harp
وقالت امرأة أنها قطعت البصل,رجل  قطع البصل,0,3.5,A man is cutting onions,A woman is cutting an onion
يلعب كلب أبيض وأسود كرة طائرة ممزقة في حقل بني,رجل يقص العشب,0,1.0,A man is mowing a lawn,A black and white dog is playing with a tattered volleyball in a brown field
رجل يضع  صلصة الجبن في وعاء,رجل يضع لوحة من الجبن المبشور في وعاء من صلصة,0,3.0,A man is pouring a plate of shredded cheese into a pot of sauce,A man is pouring a pot of cheese sauce into a shredded plate
يركض كلب بكمامة وسترة زرقاء حول الفناء,كلب يرتدي كمامة وسترة زرقاء يركض في أرجاء الملعب,0,3.6,A dog with a muzzle and a blue jacket is resting in the yard,A dog with a muzzle and a blue jacket is running around the yard
رجل يضع السائل في وعاء,الشيف يضع بعناية الزيت في المقلاة,0,3.2,The chef is carefully pouring oil in the pan,A man is pouring liquid into a pot
مجموعة أشخاص يرتدون أزياء تنكرية تفرقوا في الغابة في اتجاهات مختلفة,مجموعة أشخاص يرتدون أزياء تنكرية تجمعوا في الغابة و ينظرون  في نفس الاتجاه,0,3.2,People wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions
رجل يجلس على كرسي و يفرك عينيه,رجل يضع وشماً  يجلس على الأريكة مع قلم رصاص,0,2.0,A man with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes
الولد الصغير يركض على الأرض ويلعب مع فتاة صغيرة,الأطفال يطاردون بعضهم البعض في الرمال,2,4.3,The kids are chasing each other in the sand,The kids are not chasing each other in the sand
صبي صغير يركب دراجة ترابية عبر الوحل,يركب الصبي دراجة ترابية عبر الوحل,1,4.9,The young boy is riding a dirt bike through the mud,A young boy is riding a dirt bike through the mud
وتجمع حشد من الناس لا يزال بعيدا عن الماء,وتجمع حشد من الناس بالقرب من المياه,2,3.8,A crowd of people is near the water,A crowd of people is far from the water
فتاة تعزف على آلة النفخ,فتاة تعزف على الفلوت,1,4.4,A girl is playing a flute,A girl is playing a wind instrument
مجموعة من الأطفال يلعبون على هيكل ملون,مجموعة من الأطفال يلعبون على هيكل ملون,1,5.0,A group of kids is playing on a structure which is colorful,A group of kids is playing on a colorful structure
مجموعة كبيرة من الأصدقاء يركبون الأمواج,مجموعة كبيرة من الأصدقاء يركبون الأمواج,1,4.9,The current is being ridden by a group of friends in a raft,A group of friends are riding the current in a raft
الببغاء صامتا أمام الميكروفون,وببغاء يتحدث,2,2.9,A parrot is speaking,The parrot is silent in front of the microphone
يتم العزف على الغيتار  من قبل رجل,يعزف شخص  على بيانو,0,2.5,Someone is playing a piano,A guitar is being played by a man
دخلت كرة القدم  في شباك المرمى كهدف,لم تدخل كرة القدم  في شباك المرمى,2,3.4,A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net
رجل يمارس الرياضة,طفل يبكي,0,1.0,A baby is crying,A man is exercising
الشخص الذي يمارس التزلج على الجليد يقفز في الهواء,المتزلج على الجليد يقفز بلا خوف فوق الثلج الأبيض,1,3.9,The snowboarder is leaping fearlessly over white snow,A person who is practicing snowboarding jumps into the air
رجل يجري مكالمة هاتفية,ليس هناك رجل يجري مكالمة هاتفية,2,3.4,There is no man making a phone call,A man is making a phone call
الفرقة لا تغني,الفرقة تغني,0,2.9,The singer is leaving the band,The band is singing 
يقف كلب أبيض على الأوراق على الأرض,يقف كلب أبيض على الأوراق على الأرض,2,4.3,There is no white dog standing on the leaves on the ground,A white dog is standing on the leaves on the ground
طفل يعزف على الغيتار,امرأة تعزف على الغيتار الكهربائي,0,3.0,A woman is playing an electric guitar,A kid is playing guitar
شخص ما يقشر  الموز,رجل يأكل الموز,0,4.0,A man is eating a banana,Someone is removing the peel of a banana
يلعب  الكلب بوعاء من البلاستيك,يلعب جرو مع وعاء من البلاستيك,1,4.4,The puppy is playing with a plastic container,The dog is playing with a plastic container
رجلان يتنافسان في سباق دحرجة الإطارات,رجلان في سباق يقلبان إطارات جرار,0,3.7,Two men in a race are flipping the tires of a tractor,Two men are competing in a tire rolling race
العروس والعريس يغادرون بعد حفل الزفاف,زوجان يسيران في ممر,0,3.4,A married couple is walking down the aisle,The bride and the groom are leaving after the wedding
طفل صغير يرتدي قبعة ويمشي في الرمال الرطبة,صبي يرتدي قبعة بيضاء ويمشي على الشاطئ,0,4.3,A boy is wearing a white hat and is walking on the beach,A little kid is wearing a hat and is walking in the wet sand
تتسابق الكلاب على المضمار,الحصان لا يتسابق,0,2.2,A horse is not racing,Dogs are racing on a track
بطة بنية برأس أخضر ترفرف بجناحيها في الماء,طائر يرفرف بشدة بجناحيه على الماء,0,4.2,A bird is fiercely flapping its wings on the water,A brown duck with a green head is flapping its wings in the water
فتاة لديها بقع سوداء وبرتقالية على الخدين,فتاة تقف في مجموعة وترتدي قميصًا أسود وخرزًا ورديًا,0,2.0,A girl is standing in a group and is wearing a black shirt and pink beads,A girl has black and orange patches on the cheeks
امرأة تخيط  بآلة ,امرأة تستخدم آلة الخياطة,1,5.0,A woman is using a sewing machine,A woman is sewing with a machine
الشخص الذي يرتدي السترة الزرقاء يرتدي خوذة ملونة,سائق سيارة سباق يقف ويشير يده إلى السماء,0,1.8,A race car driver is standing up and pointing his hand at the sky,The person in the blue jacket is wearing a colorful helmet
الفتاة الصغيرة تركب السيارة اللعبة,طفل يجلس في سيارة لعبة حمراء وصفراء,1,4.9,A small girl is riding in a toy car,The small girl is riding in the toy car
الكلب البني يستنشق مؤخرة كلب أسود صغير,يقف كلب بني كبير وكلب رمادي صغير على سطح صخري,2,3.9,A large brown dog and a small grey dog are standing on a rocky surface,There is no large brown dog and small grey dog standing on a rocky surface
رجل يطلق النار من بندقية,رجل يعيد شحن بندقية,0,4.1,A man is reloading a shotgun,A man is shooting a shotgun
رجل يرقص ,الرجل يرقص ,1,4.9,The man is dancing,A man is dancing
سيدة شرقية تقطع الجزر إلى قطع رقيقة,لم تقطع المرأة الجزر,2,2.4,There is no woman slicing a carrot,The oriental lady is cutting a carrot into thin pieces
يقوم راكب دراجة بأداء خدعة على الحائط مليئة بالكتابات على الجدران,يقوم راكب دراجة بأداء خدعة على جدار به رسوم بيانية كثيفة,1,4.8,A bicyclist is performing a trick over a heavily graphitized wall,A bicyclist is performing a trick over wall full of graffiti
عائلة تبدو سعيدة بجانب المدفأة,عائلة سعيدة تقف بجانب المدفأة,1,4.5,A happy family is posing by the fireplace,"A family, which looks happy, is posing by the fireplace"
صبي يرتدي قميصًا مخططًا يركض حافي القدمين على التل الرملي,صبي يركض عبر العشب,0,3.3,A boy is running through the grass,A boy wearing a striped shirt is running barefoot on the sandy hill
أربعة أشخاص يقفون في الهواء الطلق بصمت,أربعة أشخاص يعزفون الموسيقى في الهواء الطلق,0,3.0,Four people are performing music outdoors,Four people are silently standing outdoors
لا يوجد لاعبو كرة قدم باللباس الأحمر والأبيض يقفزون ويعانقون بعضهم البعض,لاعب كرة قدم يرتدي الزي الأحمر والأبيض يرفعه اثنان من زملائه في الفريق,0,3.3,A football player in a red and white uniform is being lifted by two teammates,There are no football players in red and white jumping and hugging each other
رجل يطلق النار بسلاح,رجل يجدف في قارب,0,1.1,A man is rowing a boat,A man is shooting with a weapon
الرجل يطعم الثعبان مع حيوان,الرجل يطعم الثعبان مع الماوس,1,4.635,The man is feeding the snake with a mouse,The man is feeding the snake with an animal
راقصة ترقص أمام معدات الصوت,فتاة بيضاء ترقص,0,4.0,A girl in white is dancing,The dancer is dancing in front of the sound equipment
طفلان صغيران يأكلان كورندوغ,طفلان صغيران يأكلان الكلاب الصغيرة في عربة صغيرة حقًا,1,4.3,"Two toddlers are eating corndogs in a wagon, which is really small",Two young kids are eating corndogs
ليس هناك امرأة تقف بالقرب من ثلاثة أطفال,امرأة تقف بالقرب من ثلاثة أطفال,2,3.7,A woman is standing near three children,There is no woman standing near three children
الفرقة تغني,امرأة تضع المكياج بعناية,1,4.5,"The woman is happily playing a guitar, which is acoustic, and singing","The woman is playing a guitar, which is acoustic, and singing"
لوح تزلج يقفز من منحدر,رجل يرتدي زيًا أسود يرتدي حذاءًا مضمنًا ويؤدي خدعة على سكة حديدية,0,2.4,A man dressed in black is wearing inline skates and performing a trick on a rail,A skateboarder is making a jump off a ramp
متزلج على الجليد يؤدي في الهواء الطلق على حلبة تزلج مليئة بالناس,على صالة التزلج وضعت في الهواء الطلق مليء الناس,0,4.0,An ice skating rink placed outdoors is full of people,An ice skater is outdoors performing on a rink full of people
صبي يركض عبر البحر على الشاطئ,صبي يرتدي قميصًا أبيض يرش في المياه الضحلة,0,3.3,A boy in a white t-shirt is splashing in shallow water,A boy is running through the sea at the beach
طفل صغير يرتدي ملابس حمراء يقفز في الهواء,طفل صغير يرتدي ملابس حمراء يقفز في الهواء,1,4.0,A child in a red outfit is jumping on a trampoline,A little boy in red clothes is jumping into the air
حصان يقذف راعي البقر مرتديًا سروالًا أزرق وأحمر,رجل يركب حصانًا على مضمار في البرية,0,2.1,A man is getting on a horse on a track laid in the wild,A horse is tossing the cowboy wearing pants of blue and red color
رجل يجلس في المطر,رجل يغني عبر مكبر صوت,0,1.5,A man is singing into a microphone,A man is sitting in the rain
الرجل لا يغذي الثعبان مع الماوس,يعمل رجل على الكمبيوتر المحمول,0,1.1,A man is working on the laptop,The man is not feeding the snake with a mouse
ليس هناك امرأة تعزف على الكمان,رجل يعزف على البيانو ,0,2.3,A man is playing the piano,There is no woman playing the violin
الرجل العضلي يرقص والرجل الذي يقف خلفه يرتدي خرزًا أخضر,يرقص الرجل الأسود ذو العضلات القوية والرجل الذي يقف خلفه يرتدي خرزًا أخضر,1,4.4,The muscular black man is dancing and the man behind him is wearing green beads,The muscular man is dancing and the man behind him is wearing green beads
يعزف صبي على الغيتار,ليس هناك صبي يعزف على الجيتار,2,3.8,There is no boy playing guitar,A boy is playing guitar
صبي صغير يوبخ كلبًا,يلعب الطفل مع كلب,0,3.0,A baby is playing with a dog ,A small boy is scolding a dog
رجل يخرج من الماء,رجل يهرب من مستنقع ,0,3.2,A man is escaping a rising swamp,A man is coming out of the water
رجل يركب حصان,الرجل يركب حصانًا,1,5.0,The man is riding a horse,A man is riding a horse
امرأة ترتدي البيكيني تسحب كلبًا على مقود على الشاطئ,امرأة تقف على الشاطئ مع كلب مقود,0,3.3,A woman is standing at the beach with a dog on a leash,A woman in a bikini is pulling a dog on a leash at the beach
طفل يركض ليخرج من أمواج المحيط, صبي صغير يمر عبر أمواج المحيط,1,4.4,"The boy, who is young, is running through the ocean waves",A child is running in and out of the ocean waves
عائلة تشاهد صبي صغير و  يلعب  بكرة البيسبول,طفل أضاع كرة البيسبول,0,2.7,A child is missing a baseball,A family is watching a little boy who is hitting a baseball
المرأة تطبخ شيء,امرأة تطبخ  البيض,1,4.2,A woman is cooking eggs,The woman is cooking something
امرأة ترتدي عباءة كبيرة جداً تخفي ثوباً باهظاً,امرأة تخلع عباءة كبيرة جدًا وتكشف عن ثوب فخم,2,3.5,"A woman is taking off a cloak, which is very large, and revealing an extravagant dress","A woman is putting on a cloak, which is very large, and concealing an extravagant dress"
امرأة ذات شعر أشقر تجلس على سطح سيارة صفراء وبداخلها شخصان,امرأة شقراء تجلس على سطح سيارة صفراء وبداخلها شخصان,1,4.5,A blond woman is sitting on the roof of a yellow vehicle and two people are inside,A woman with blond hair is sitting on the roof of a yellow vehicle and two people are inside
شخص يكتب على لوحة المفاتيح,رجل يكتب على لوحة المفاتيح في حديقة,1,4.3,A man is playing a keyboard in a park,A person is playing the keyboard
يتم فتح صندوق من قبل رجل, رجل فتح صندوق,1,4.9,A man is cutting a box,A box is being cut by a man
لا أحد يقاتل في مراعي الأبقار,رجلين يتقاتلون في مراعي الماشية,0,3.3,Two men are fighting in a cattle pen,Nobody is fighting in a cow pasture
مجموعة من الناس يرقصون,هناك عدد قليل من الناس يرقصون,1,4.5,A few people are dancing,A group of people are dancing
ليس هناك ورقة يتم قصها بالمقص,قطعة من الورق تم قصها,0,4.2,The piece of paper is being cut,There is no paper being cut with scissors
الكلب مقيد ويخرج من الماء,كلب أبيض مقود يمشي في الماء,0,3.6,A white dog on a leash is walking in the water,The dog is on a leash and is walking out of the water
حيوان يرعى في حقل,وحيد القرن يرعى على العشب,1,4.1,The rhino is grazing on the grass,A animal is grazing in a field
ليس هناك طاه إعداد وجبة,قام كبير الطهاة بإعداد وجبة,2,3.2,A chef is preparing a meal,There is no chef preparing a meal
وليس هناك رجل يلعب كرة القدم,رجل يعزف على الفلوت,0,1.3,A man is playing flute,There is no man playing soccer
كلب أسود صغير يطارد كلبًا بنيًا صغيرًا,الكلب البني والكلب الأسود في العشب,0,3.2,The brown dog and the black dog are in the grass,A little black dog is chasing a little brown dog
قط  فتح درج وتسلق داخله,القط الكبير  فتح درج مصنوع من البلاستيك مع الكفوف قفز داخله,1,4.2,A big cat is opening a drawer made of plastic with its paws and is jumping inside,A cat is opening a drawer and climbing inside
السباحون يتسابقون في بحيرة,اندفع العديد من السباحين في الماء,0,3.5,Several swimmers are dashing into the water,Swimmers are racing in a lake
رجل يركب الحصان,حصان يركبه شخص,1,4.7,A horse is being ridden in a creek by a man,A man is riding a horse
الرجل ذو القبعة الأرجوانية يشغل كاميرا تصنع مقاطع فيديو,الرجل ذو القبعة الأرجواني لا يشغل كاميرا تصنع مقاطع فيديو,2,3.4,The man in the purple hat isn't operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos
رجلان يجلسان حول طاولة وح شيخوخة البيرة في أيديهم,اثنين يجلس الرجال حول طاولة ويحملون البيرة في أيديهم,1,4.6,Two guys are sitting around a table and holding beers in their hands,Two blokes are sitting around a table and holding beers in their hands
