label,t,h
0,خطاب كتب ه الزعيم النازي الألماني هتلر  عرض في نيويورك ل لمرة الأولى  و يتضمن ما يعتقد أن ه التعبير الاولي من الزعيم النازي عن كراهيت ه ل ليهود ,خطاب ل أدولف هتلر في شباب ه يكشف نوايا ه المبكرة ضد اليهود 
1,رئيس الوزرا الباكستاني يتعهد ل لرئيس الافغاني ب دعم جهود السلام و المحادثات بين حكومة كرزا ي و حركة طالبان ,باكستان تتعهد ب دعم جهود السلام في افغانستان 
1,طفل و امرأة هما بين 23 متظاهرا الذين قتلوا الأحد ب نيران الجيش الإسرائيلي في هضبة الجولان السورية في الذكرى السنوية 44 ل حرب عام 1967  و المعروفة ب يوم النكسة ,احتجاجات ب ذكرى النكسة و مقتل 23 متظاهرا بين هم طفل و امرأة 
0,المأذونون الشرعيون يقررون الانضمام إلى الفئات المهنية التي قررت اللجو إلى الإضرابات و الاعتصامات ك وسيلة ل تحقيق مطالب ها و يمنحون الحكومة مهلة ل تنفيذ مطالب هم ,المأذونون الشرعيون يهددون ب الانضمام إلى المضربين في مصر 
0,قال رجل الأعمال و الملياردير المصري القبطي نجيب ساويرس إن مصر على حافة الإفلاس و تحتاج ب شكل عاجل إلى مساعدات مالية ,نجيب ساويرس يؤكد حاجة مصر الى 12 مليار دولار 
0,قال دوق ادنبره و زوج الملكة اليزابيث الثانية ملكة بريطانيا ان ه سيخفف من واجبات ه الوظيفية ب وصف ه احد ابرز اعضا الاسرة المالكة في البلاد ,الامير فيليب يعلن رغبت ه في تقليص دور ه الوظيفي ل كبر السن 
1,رئيس المجلس الوطني الانتقالي الليبي المعارض يقول ان استخدام المروحيات الحربية في عمليات الناتو في ليبيا  قانوني و وارد في القرار الدولي 1973 ,المعارضة الليبية  استخدام الناتو ل لمروحيات قانوني 
1,باحثون يسجلون رقما قياسيا جديدا في نقل البيانات عبر استخدام الليزر ب معدل 62 ترليون ب ايت في الثانية ,الليزر يسجل الرقم القياسي في نقل البيانات 
1,سجل السائق تانر ف اوست رقما قياسيا عالميا في القفز ب عربة رباعية الدفع بعد ان قفز ب سيارة ل مسافة 332 قدما ,رقم قياسي عالمي في القفز ب عربة رباعية الدفع 
0,أضحت المدينة التي قتل في ها أسامة بن لادن على يد القوات الأمريكية محل اهتمام وسائل الاعلام  و تأكد سكان ها من مقتل بن لادن بعد اعتراف تنظيم القاعدة ب ذلك ,مدينة أبوت اباد حيث قتل بن لادن محط أنظار وسائل الاعلام 
1,ترصد مراسلة بي بي سي في مدريد ثورة الشباب الإسبان الذين اختاروا تحدي قرار مفوضية الانتخابات القاضي ب حظر اعتصام هم و مواصلة حركة احتجاج هم ,الشباب الإسبان يتحدون السلطات رغم حظر الاعتصام 
0,عقد في القاهرة اللقا الأول بين ممثلين عن المجلس الأعلى ل لقوات المسلحة و حوالي ألف شخص يمثلون عددا من الفصائل الشبابية التي ظهرت منذ اندلاع الثورة ,مصر  اول لقا بين شباب الثورة و المجلس العسكري الحاكم 
0,أعلن رئيس الاتحاد الأوروبي ل كرة القدم اختيار استاد و يمبلي في لندن ل إستضافة المباراة النهائية ل دوري أبطال أوروبا ل كرة القدم العام 2013 ,ميشيل ب لاتيني  ملعب و يمبلي يستضيف نهائي دوري أبطال أوروبا 2013 
1,وكالة رويترز تقول إن تقريرا وضع ه خبرا من الأمم المتحدة توصل الى أن هناك تعاونا بين كوريا الشمالية و إيران في مجال الصواريخ البالستية ,تعاون بين إيران و كوريا الشمالية في مجال الصواريخ البالستية 
0,مرشحوا الحزب الجمهوري الأمريكي ل انتخابات الرئاسة الأمريكية يوجهون انتقادات واسعة ل لسجل الاقتصادي ل لرئيس باراك أوباما في أول مناظرة تلفزيونية كبرى في حملة الانتخابات ,سباق الرئاسة الأمريكية 2012  7 مرشحون جمهوريون يوجهون انتقادات كبيرة لأوباما في أول مناظرة كبرى 
1,استؤنفت بعض الرحلات الجوية في أمريكا الجنوبية التي كانت قد الغيت من قبل ب سبب سحب الرماد التي يقذف ها بركان شيلي ,استئناف بعض الرحلات الجوية الملغاة ب سبب الرماد البركاني 
1,قوات الامن الافغانية تشن هجوما على مقر شرطة المرور في خوست شرق افغانستان  حيث يتحصن انتحاريون منذ الصباح ,خوست  قوات الأمن تداهم مقر ل لشرطة يتحصن في ه انتحاريون 
1,ستاندرد اند بورز تخفض التصنيف الائتماني ل ليونان ثلاث نقاط و تحذر من ان البلاد قد تتخلف مجددا عن سداد ديون ها وسط مشاكل تطبيق الاتفاق مع الاتحاد الاوروبي و صندوق النقد الدولي ,تخفيض التصنيف الائتماني ل ليونان و تحذير من تخلف جديد عن سداد الديون 
0,أعلن التلفزيون السوري الخميس أن ابن خال الرئيس بشار الأسد و أحد كبار رجال الأعمال السوريين قرر ترك التجارة و التحول إلى العمل الخيري ,سورية  رامي مخلوف يترك التجارة و يتجه إلى العمل الخيري 
0,قضت محكمة إسرائيلية ب السجن مدى الحياة ب تهمة القتل على جد و والدة طفلة عمر ها أربعة أعوام عثر على جثت ها ملقاة في نهر في تل أبيب عام 2008 ,إسرائيل  السجن مدى الحياة ل جد قتل حفيدت ه ب تحريض من أم ها 
0,أعلن نائب رئيس نادي الوصل الاتفاق مع نجم كرة القدم الارجنتيني دييغو مارادونا ل تدريب فريق ه في الموسم المقب ,مروان بن بيات  مارادونا يدرب الوصل الإماراتي 
1,يستعد وزرا الزراعة في دول الاتحاد الأوروبي ل عقد مباحثات ل مناقشة أزمة إي  كولاي  بينما تتواصل الجهود العلمية ل تحديد مصدر الوبا الذي أدى إلى مقتل 22 شخصا حتى الآن ,الاتحاد الأوروبي  اجتماع وزاري ل مناقشة أزمة وبا إي  كولاي 
0,محاولات نتنياهو ل تنجب الصدام العلني مع الرئيس اوباما و خلافات و تباينات في صفوف المعارضة السورية و محاولات البحرين ل تطبيع اوضاع ها الداخلية هي من بين قضايا الشرق الاوسط في الصحف البريطانية ,الصحف البريطانية  تطبيع الاوضاع في الشرق الاوسط 
0,فيما يتعافى الرئيس صالح في السعودية  حزب ه الحاكم يبدأ محادثات سياسية مع تحالف المعارضة ,محادثات سياسية بين الحزب الحاكم و المعارضة في اليمن 
0,رئيس حكومة حماس المنتهية ولايت ها في قطاع غزة يصاب في كاحل ه اثنا مشاركت ه في معسكر تدريبي ل لاعبين المخضرمين ,اصابة اسماعيل هنية في مباراة كرة قدم 
0,الرئيس الأمريكي باراك أوباما أعرب عن تمسك ه ب أن تكون حدود عام 1967 أساسا ل لاتفاق ل لسلام في الشرق الأوسط في خطاب ه أمام آيبا ك ,أوباما متمسك ب رؤيت ه ل لسلام في فلسطين 
1,المبعوث الامريكي الخاص برورت كينغ يبدأ ب رفقة فريق من الخبرا زيارة الى كوريا الشمالية الثلاثا ل تقييم شدة نقص الغذا في هذا البلد ,وفد امريكي في كوريا الشمالية ل تقييم ازمة الغذا 
0,تم الاعلان في لبنان عن تشكيل الحكومة اللبنانية الجديدة ب رئاسة نجيب ميقات ي ب موجب مراسيم صدرت عن رئيس الجمهورية ميشال سليمان  و تم في ها اعتبار حكومة تصريف الاعمال ب رئاسة سعد الحريري حكومة مستقيلة ,بعد خمسة شهور من الجمود  نجيب ميقات ي يشكل حكومة جديدة ل لبنان 
1,شركة نينتيدو عملاق صناعة الألعاب الاكترونية تكشف عن جهاز ها الجديد من لعبة وي في معرض إي 3 في لوس انجلس ب الولايات المتحدة ,نينتيندو تكشف عن جهاز العاب وي الجديد 
0,مدينة كرايستشيرش النيوزيلندية  التي ضرب ها زلزال قوي في شباط الماضي اودى ب حياة 181 شخصا  تتعرض ل سلسلة من الهزات الجديدة يوم الاثنين تؤدي الى اضرار مادية و عدد محدود من الاصابات ,زلزال ب قوة 6 درجات يضرب مدينة كرايستشيرش النيوزيلندية 
0,مفوض الصحة ب الاتحاد الأوروبي أعلن أن تفشي الإصابة ب بكتريا إي  كولاي المعوية أصبح الآن محصورا من الناحية الجغرافية في شمال ألمانيا ,الاحتياطات في قضية تفشي بكتريا إي  كولاي في عموم العالم غير ضرورية 
0,الرئيس الأمريكي باراك أوباما يزور بولندا في المرحلة الأخيرة من جولت ه الأوروبية و يلتقي في ها ب زعما وسط و شرقي أوروبا الأعضا في الاتحاد الأوروبي ,أوباما يزور بولندا ل تعزيز العلاقات بين البلدين 
1,ضم نادي سندرلاند الانجليزي ب شكل نهائي لاعب المنتخب المصري ل كرة القدم أحمد المحمدي ل مدة ثلاث سنوات ,نادي سندرلاند الانجليزي يتعاقد مع المصري أحمد المحمدي ل ثلاث سنوات 
1,محكمة بريطانية تحكم على اربعة شبان مسلمين ب السجن ل اعتدائ هم ب الضرب على مدرس تربية دينية لم يوافقوا على ان يدرس البنات المسلمات ,الحكم ب السجن على الشبان المسلمين الذين اعتدوا على مدرس الدين 
1,القوات الموالية ل لزعيم الليبي تقصف بلدة الدفنية الواقعة غربي مدينة مصرات ه و تقتل 30 شخصا اغلب هم من مقاتلي المعارضة ,مقتل 30 شخصا في قصف ل قوات القذافي على الدفنية 
1,واشنطن تقول إن ها تجري اتصالات مع شخصيات سورية في الداخل و الخارج تسعى من أجل التغيير  و أنقرة و الأمم المتحدة تدعوان دمشق إلى وقف العنف ,واشنطن تجري اتصالات ب شخصيات سورية و الأمم المتحدة تدعو دمشق إلى وقف أعمال القتل 
1,أكد الرئيس الأمريكي باراك أوباما في خطاب ه أمام البرلمان البريطاني أن بلاد ه و بريطانيا تقفان إلى جانب الساعين ل لحصول على الحرية في الشرق الأوسط ,أوباما أمام البرلمان البريطاني  أمريكا و بريطانيا تساندان الساعين ل لحرية في الشرق الأوسط 
0,قتل شخص واحد على الأقل و أصيب آخرون في مدينة ما يسور ب ولاية كارناتاكا و الجاني فيلان غير مستأنسين ,فيلان بريان يبثان الرعب في قلوب سكان مدينة هندية 
1,يشهد المغرب تظاهرات يقود ها مجموعة من الشبان اطلقوا على انفس هم حركة 20 فبراير تطالب ب تغييرات جذرية في البلاد من بين ها اعتماد نظام الملكية الدستورية و تقييد سلطات الملك ,المغرب  حركة 20 فبراير تطالب ب اعتماد الملكية الدستورية 
1,اتفق القادة الأفارقة الأحد على بد مفاوضات ل تأسيس منطقة ل لتجارة الحرة يتوقع أن تضم 26 دولة و تمتد من القاهرة إلى كيب تاون ,القادة الأفارقة يتفقون على بد مفاوضات ل انشا منطقة تجارة حرة 
1,النائب العام في نيويورك يستدعي مسؤولي مصرف غولدمان ساكس ل لاستثمارات المالية ل لاستجواب حول ادا المصرف قبيل حدوث الأزمة المالية العالمية ,تحقيقات جديدة ب شأن دور غولدمان ساكس في الأزمة المالية 
1,كرواتيا تقترب من استكمال مباحثت ها مع الاتحاد الأوروبي ب شأن شروط انضمام ها إلي ه في حين قالت جارت ها هنغاريا إن استيفا هذه المباحثات قد يحدث في شهر تموز المقبل ,كرواتيا تستكمل معظم مباحثات شروط الانضمام إلى الاتحاد الأوروبي 
1,وزير الصحة الألماني قال ان هناك ما يدعو ل لتفاؤل الحذر ب بد انحسار عدوى الإي  كولاي ,ألمانيا متفالة ب بد انحسار عدوى الإي  كولاي 
1,الشرطة التركية تلقي القبض في مدينة أضنة على 10 أشخاص ب شبهة صلت هم ب تنظيم القاعدة  و تقول إن تسعة من المشتبه ب هم اعتقلوا في سلسلة غارات جرى تنفيذ ها في وقت واحد ,تركيا  اعتقال 10 أشخاص في أضنة ب شبهة الانتما ل تنظيم القاعدة 
1,مبعوثون أمميون يقولون إن مسودة القرار الذي اقترحت ه فرنسا و بريطانيا و المانيا و البرتغال على مجلس الأمن الدولي ل إدانة سورية تواجه ب معارضة شديدة من روسيا ,معارضة روسية ل قرار يدين سورية في مجلس الأمن 
0,مسح ل لشركات يكشف عن زيادة كبيرة في عدد الشركات التي تعتمد على الصين ل لنمو  خاصة من ها الشركات التي تشكو من السياسات الصينية ,الشركات الاوروبية تزيد استثمارات ها في الصين رغم الشكوى من الاجراات 
1,علما بريطانيون يتوصلون الى دوا يجعل عضلة القلب تصلح نفس ها في حالة الاصابة ب جلطة ب ما يمنع عجز القلب ,دوا جديد يجعل القلب يصلح اضرار الازمات القلبية 
1,طرحت شركة ألعاب فيديو لعبة جديدة تتيح ل لاعبين محاكاة الهجوم الذي شنت ه القوات الأمريكية على زعيم تنظيم القاعدة أسامة بن لادن و أسفر عن مقتل ه ,لعبة فيديو أمريكية تحاكي عملية قتل بن لادن 
1,الرئيسة البرازيلية ديلما روسيف تعلق انتاج و توزيع افلام التربية الجنسية في المدارس البرازيلية ,رئيسة البرازيل تعلق مواد تدريس التربية الجنسية 
1,السلطات العراقية منعت سفينة تحمل على متن ها مساعدات طبية من الابحار ب اتجاه البحرين  ب حسب ما افاد احد اعضا اللجنة المنظمة ,العراق يمنع سفينة مساعدات من الإبحار الى البحرين 
1,صندوق النقد الدولي يقول ان بريطانيا ليست ب حاجة ل تغيير في سياست ها الاقتصادية لكن ه خفض توقعات النمو ل هذا العام الى 15 في المئة من 2 في المئة سابقا ,صندوق النقد الدولي يخفض توقعات ه ل نمو الاقتصاد البريطاني 
0,حذر رئيس الكنسية الأنجليكانية من تعاظم تيارات متطرفة في الشرق الأوسط  تحاول أن تحول الربيع العربي إلى أوقات عصيبة على المسيحيين ,الدكتور روان ويليامس  مسيحيو الشرق الأوسط يواجهون خطر التعصب 
0,حركة طالبان الأفغانية  قررت الاعتماد على شبكات التواصل الاجتماعي ب درجة أكبر و استخدام ها في توصيل رسائل ها إلى العالم ,طالبان تستخدم تويتر ل لتواصل عبر شبكة الإنترنت 
0,وفد ب رئاسة نائب رئيس حكومة جنوب السودان في الخرطوم ل لبحث في عدد من المسائل المهمة ,وفد من حكومة جنوب السودان ب الخرطوم ل لتباحث حول ابيي 
1,وزير المالية الألماني يقول إن حزمة المساعدات المخصصة ل ليونان غير كافية  مضيفا أن هناك خطرا حقيقيا ل تتخلف عن سداد ديون ها إذا لم يفرج عن الموارد المالية قريبا ,وزير المالية الألماني  اليونان تحتاج إلى حزمة مساعدات جديدة 
1,اشتباكات عنيفة في لحج بين قوات الأمن و مسلحين مجهولين و تواصل التحركات الأمريكية و الخليجية و الأوروبية في الرياض و صنعا ل نقل السلطة سلميا ب شكل فعلي ل نائب الرئيس عبد ربه منصور ,اليمن  اشتباكات في لحج و تحركات دولية ل نقل السلطة إلى نائب الرئيس 
1,مصادر يمنية نفت ما اعلنت ه مصادر طبية عن ان الرئيس اليمني قد غادر البلاد ل لعلاج  و ربما ب شكل نهائي  فيما نقل كبار المسؤولين ل لسعودية ل لعلاج ,مصادر يمنية تنفي مغادرة الرئيس البلاد 
0,راقب العلما ل لمرة الأولى نشاط العقل البشري و هو يغيب عن الوعي ,تمكن العلما من اخذ صور ل لدماغ و هو يغيب عن الوعي 
0,بدأ موسم الإنتاجات السينمائية الضخمة في هوليوود  و من بين ها الجز الجديد من فيلم X  Meن  و الذي يعتمد على فكرة البطل الخارق ,موسم الإنتاجات الضخمة في هوليود يفتتح ب أربعة أفلام 
0,وزير شؤون مجلس الوزرا في حكومة السودان الوطنية لوكا بيونق دينق يعلن استقالت ه من منصب ه احتجاجا على ما وصف ه ب جرائم حرب ارتكبت في منطقة أبيي المتنازع علي ها بين شمال السودان و جنوب ه ,السودان  استقالة وزير جنوبي احتجاجا على الوضع في أبيي 
0,وزير الخارجية البريطاني وليام هيغ و نظير ه في التنمية الدولية أندرو ميتشيل يزوران بنغازي ل اجرا محادثات مع قادة المعارضة ,وفد بريطاني هام يزور معقل المعارضة الليبية 
1,الحكومة الاسرائيلية تنفي يوم الثلاثا ان يكون إيلان غرابيل  المواطن الاسرائيلي الذي اعتقلت ه السلطات المصرية في القاهرة ب تهمة التجسس احد جواسيس ها ,اسرائيل تنفي ان يكون غرابيل المعتقل في القاهرة جاسوسا 
0,رئيس وزرا العراق يعتزم تخفيض عدد الوزرا و تحقيق المزيد من وضوح الاختصاصات في عمل الوزارات حسب ما ذكرت مصادر رسمية و برلمانية في العراق ,نوري المالكي يدرس تخفيض عدد الوزرا في الحكومة العراقية 
1,تعتبر الوحدة الخاصة الأميريكية المعروفة ب اسم نيف ى سيل من أقوى الوحدات الأميريكية العسكرية التى تكلف ب تنفيذ مهام خاصة و هى الوحدة الى قامت ب تنفيذ عملية قتل أسامة بن لادن ,نيف ى سيل وحدة القوات الخاصة التى قتلت بن لادن 
1,انبا عن استئناف ضخ الغاز المصري الى اسرائيل و الاردن و استمرار المفاوضات بين القاهرة و عمان على تسعير جديد ,مصر تستأنف تصدير الغاز الى اسرائيل و الاردن 
1,حسن شحاتة  المدير الفنى ل لمنتخب الوطني المصري ل كرة القدم يقدم استقالت ه رسميا بعد خروج الفريق من التصفيات المؤهلة ل بطولة أمم أفريقيا 2012 عقب التعادل السلبى مع جنوب أفريقيا مسا الأحد ,استقالة حسن شحاته مدرب المنتخب المصري ل كرة القدم 
0,مسؤول حكومي يمني يقول ان الرئيس اليمني ب صحة جيدة  و سيلقي كلمة قريبا  الا ان التلفزيون الرسمي نفى نبأ القا الكلمة  بعد ان قصف القصر الجمهوري ب المدفعية ,تضارب الانبا حول الرئيس اليمني 
0,خصصت صحيفة الاندبندنت غلاف ها الخارجي ل لشأن السوري و نشرت مجموعة من الصور عم ا تشهد ه المدن السورية من احتجاجات و مظاهرات ضد حكم الرئيس بشار الاسد مع مقال ل كبير مراسلي ها عم ا يسمي ه المرحلة الجديدة و الخطيرة التي دخلت ها سورية مؤخرا ,الاندبندنت  الشعب ضد الرئيس و الاحتجاجات تتحول الى عصيان مسلح في سورية 
1,العشرات من اليمنيين يلقون حتف هم في الاشتباكات التي تواصلت في العاصمة صنعا الليلة الماضية بين القوات الحكومية و أنصار الزعيم القبلي المعارض الشيخ صالح الأحمر ,اليمن  مقتل العشرات في تواصل الاشتباكات بين القوات الحكومية و أنصار زعيم قبلي 
0,حزب العدالة و التنمية الحاكم الذي يتزعم ه رئيس الوزرا التركي رجب طيب أردوغان يتجه ل تحقيق فوز في الانتخابات النيابية  إذ فاز ب نسبة 507 في المئة من الاصوات بعد فرز 90 في المئة من بطاقات الانتخاب ,الانتخابات التركية  العدالة و التنمية يتجه ل لفوز  و لكن ب اغلبية اصغر من التي يتمتع ب ها حاليا 
0,في اول عملية بعد الانتخابات البرلمانية  القوات التركية تقتل ثلاثة من مقاتلي الاكراد في منطقة بعيدة عن منطقة القتال الاساسية بين الجيش التركي و المتشددين الاكراد ,القوات التركية تقتل ثلاثة من مقاتلي حزب العمال الكردستاني 
1,توصلت موسكو و باريس إلى اتفاق تشتري روسيا ب موجب ه أربع سفن حربية فرنسية ب قيمة إجمالية تفوق ملياري دولار ,روسيا تشتري سفنا حربية فرنسية ب أكثر من ملياري دولار 
1,السلطات الصومالية تعلن مقتل وزير الداخلية عبد الشكور شيخ حسن في تفجير انتحاري داخل منزل ه نفذت ه ابنة أخي ه ,مقتل وزير الداخلية الصومالي في تفجير انتحاري ب يد قريبت ه 
0,الكبش النيوزيلندي شريك الذي اشتهر ب سبب قدرت ه على تجنب الجزازين  فارق الحياة و كان البعض في نيوزيلندة ينظر الي ه ب وصف ه ايقونة وطنية ,حداد على كبش اصبح رمزا وطنيا 
0,وزير الخارجية الليبي يتوجه الى بكين هذا الاسبوع فيما زار دبلوماسيون مصريون بنغازي و التقوا ممثلي المجلس الوطني الانتقالي المعارض في ليبيا ,وزير خارجية ليبيا يزور بكين و الصين تحاور المعارضة الليبية 
1,مسؤولون امريكيون يقولون أن هم امروا ب إجرا مراجعة أمنية بعد تمكن قراصنة كومبيوتر من اختراق موقع احد اعضا مجلس الشيوخ الامريكي الاسبوع الماضي ,السلطات الامريكية تأمر ب مراجعة امنية بعد قرصنة موقع احد اعضا مجلس الشيوخ 
1,الاتحاد الدولي ل كرة القدم فيفا سيبدأ في تحقيقات ب شأن مزاعم عن دفع رشاوى ل أربعة من كبار المسؤولين في ه و من بين هم جاك و ارنر نائب رئيس الفيفا و المرشح ل رئاسة الفيفا محمد بن همام ,تحقيقات في اتهامات ب الرشوة ل مسؤولين في الفيفا بين هم بن همام 
0,شركة طيران ل وفتهانزا الألمانية قررت إلغا عدد من رحلات ها إلى شرق أفريقيا ب سبب سحابة الدخان المتصاعد من بركان داب ي ,شركة ل وفتهانزا تلغي رحلات ها نتيجة ل بركان شرق أفريقيا 
1,قال وزير في حكومة جنوب السودان إن 150 ألف شخص فروا من منطقة أبيي الحدودية بعد اجتياح ها من قبل جيش شمال السودان في 21 من أيار الجاري ,حكومة جنوب السودان  150 ألف شخص فروا من أبيي بعد هجوم القوات الشمالية 
1,قادة مجموعة الثماني يبدأون الخميس قمة في مدينة دوفيل الساحلية ب فرنسا على مدى يومين في ظل بروز قوى اقتصادية عالمية فرضت نفس ها على المشهد العالمي ك الهند و الصين ,الهند و الصين تفرض نفس ها على قمة مجموعة الثماني 
1,باحثون امريكيون يقولون ان المواد الكيماوية التي تعيق شم البعوض ل رائحة الانسان يمكن ان تستخدم ك طارد ل لبعوض ,المواد الكيماوية ذات الرائحة تطرد البعوض 
1,انكب اهتمام الصحف البريطانية ب صفة خاصة على الشأن الداخلي في سياق ما انكشف من أمر مؤامرة دبرت داخل حزب العمال من أجل الإطاحة ب توني بلير رئيس الوزرا السابق زعيما ل لحزب ,مؤامرة داخل حزب العمال من أجل الإطاحة ب توني بلير 
1,وزيرة الخارجية الأمريكية هيلاري كلينتون صرحت فور وصول ها إلى باكستان ب أن ه لا يوجد دليل يشير إلى تورط كبار المسؤولين الباكستانيين في توفير الحماية ل زعيم تنظيم القاعدة أسامة بن لادن ,كلينتون لا دليل على ضلوع باكستان في حماية بن لادن 
1,مصادر فلسطينية تقول إن مجموعة من المستوطنين الاسرائيليين حرقت مسجد بلدة المغير الكبير الواقع في منطقة شمال شرقي رام الله  و شهود عيان يقولون إن المهاجمين كتبوا على جدران المسجد المحترق شعارات مناهضة ل لعرب و المسلمين ,رام الله  مستوطنون إسرائيليون يحرقون مسجد بلدة المغير الكبير 
0,تجدد القصف المدفعي على منزل الشيخ صادق الاحمر و سقوط عدة قذائف هاون على معسكر الفرقة المدرعة الأولى ليل الاحد و الرئيس اليمني يخضع ل عمليتين جراحيتين ناجحتين ,اليمن  تجدد القصف في صنعا و صالح يخضع ل جراحة ناجحة في السعودية 
1,الوكالة الدولية ل لطاقة الذرية تعقد اجتماعا ل مجلس امنائ ها وسط ضغوط امريكية و غربية ل اجبار ها على اصدار توبيخ ل سورية حول برنامج ها النووي المزعوم ,ضغوط غربية على الوكالة الدولية ل لطاقة الذرية ل توبيخ سورية 
1,تعهد ملك الأردن عبد الله الثاني الأحد ب أن تشكل الحكومات المقبلة في البلاد على اساس الأغلبية النيابية الحزبية ,الأردن  الملك عبد الله يتعهد ب تشكيل حكومة على أساس الأغلبية النيابية الحزبية 
1,السلطات الألمانية تعلن اسئتناف الرحلات الجوية من مطارات ها ب شمال البلاد بعد توقف ها ب سبب الرماد البركاني المنبعث من بركان غريمسفوتن في ايسلندا ,استئناف الرحلات الجوية في مطارات ألمانيا بعد توقف ها ب سبب الرماد البركاني 
1,دول الاقتصادات الصاعدة الرئيسية بريكس تتحد في ابدا انزعاج ها من طريقة اختيار خلف ل رئيس صندوق النقد الدولي المستقيل ,دول بريكس تبدي انزعاج ها من طريقة اختيار رئيس صندوق النقد الدولي 
1,أكد رئيس الأركان الأمريكي مايكل مولن أن عزلة الزعيم الليبي العقيد معمر القذافي تزداد  و من جهت ه أكد الرئيس الروسي أن بلاد ه سترسل مبعوثا خاصا إلى طرابلس و بنغازي ل لقيام ب وساطة في النزاع الليبي ,واشنطن تقول إن عزلة القذافي تزداد و موسكو ترسل مبعوثا إلى ليبيا 
0,رئيس الاتحاد الدولي ل كرة القدم يقول إن ه لا ينوي اجرا تحقيق في الظروف المحيطة ب فوز قطر ب شرف استضافة نهائيات كأس العالم  و لكن ه لن يمنع لجنتي الاخلاقيات و الحلول من التحقيق في الموضوع ,بلاتر  الفيفا لا تنوي اجرا تحقيق في ظروف فوز قطر ب كأس العالم 2022 
1,أصر رئيس الاتحاد الدولي ل كرة القدم سيب بلاتر على ان الاتحاد لا يعاني من أزمة  رغم الضرر الكبير الذي اصاب سمعت ه جرا تهم الفساد التي وجهت ل عدد من كبار مسؤولي ه ,سيب بلاتر ينفي ان يكون الاتحاد الدولي ل كرة القدم في أزمة 
0,البريطاني اندي موراي يحرز لقب دورة كوينز الدولية ل لتنس التي أقيمت في لندن بعد فوز ه على الفرنسي جو و يلفريد تسونغا المصنف الخامس على البطولة ب ثلاث مجموعات في المباراة النهائية ,البريطاني موراي يفوز ب بطولة كوينز ل لتنس و يستعد ل ويمبلدون 
0,رئيس وزرا سنغافورة يقول امام المنتدى الاقتصادي العالمي ل شرق اسيا في جاكرتا ان ه لا يريد رؤية ارتفاع سريع في قيمة اليوان الصيني و انما زيادة تدريجية ,تفاؤل اقتصادي اسيوي و تحذير من ارتفاع قيمة اليوان ب سرعة 
0,أفادت مصادر دبلوماسية من العاصمة الاثيوبية أديس ابابا أن الرئيس السوداني وافق على سحب القوات الشمالية من المنطقة المتنازع علي ها قبل انفصال الجنوب في 9 تموز المقبل ,أنبا عن موافقة عمر البشير على الانسحاب من أبيي 
1,اعلن في بيروت عن تشكيل حكومة لبنانية جديدة ب رئاسة نجيب ميقاني و ذلك بعد خمسة شهور من تكليف ه ب تشكيل الحكومة ,اعلان الحكومة اللبنانية الجديدة 
0,أجلت محكمة عسكرية بحرينية محاكمة اطبا اعتقلوا اثنا الحملة ضد المحتجين المناهضين ل لحكومة بعد ان شكا محامو هم من تعرض هم ل لتعذيب ,محاكمة أطبا و ممرضين في البحرين 
0,يقدر عدد النازحين إلى تركيا هربا من احداث العنف في سورية ب نحو 1600 شخصا و مفوضية حقوق الإنسان في الأمم المتحدة تدعو الحكومة السورية ل وقف اعتداات ها على شعب ها ,استمرار تدفق النازحين السوريين إلى تركيا 
1,السلطات التشيلية تستخرج رفات الرئيس التشيلي الأسبق سلفادور أليندي ل تحديد ما إذا كان قد مات انتحارا أم اغتيالا ب رصاص القوات التي اقتحمت قصر ه خلال انقلاب عام 1973 ,استخراج رفات الرئيس التشيلي الراحل سلفادور أليندي ل تحديد سبب وفات ه 
1,مئات السوريين الذين كانوا على الحدود منذ عدة ايام  يفرون الى داخل الاراضي التركية مع تقدم الجيش معززا ب الدبابات من مخيم هم ,سورية  فرار مئات السوريين الى داخل تركيا 
1,اظهرت احداث جمعة الغضب الثانية انقساما شديدا بين القوى الليبرالية  و بين القوى الاسلامية في مصر  و ل ازال الخلاف بين هما محتدما حول تعديل الدستور ,انقسام الشارع المصري بين ليبراليين و اسلاميين 
0,سفيرة سورية تعلن استقالت ها من منصب ها احتجاجا على ما وصفت ه ب القمع الذي تمارس ه السلطات السورية ب حق المحتجين ,السفيرة السورية في باريس ل ميا شكور تستقيل احتجاجا على قمع الاحتجاجات في بلد ها 
0,باحثون ب الولايات المتحدة يقولون إن الأشخاص المصابين ب مرض الشريان التاجي يواجهون مخاطر الموت أكثر من غير هم إذا كانت خصور هم محاطة ب الشحوم ,عيادات مايو ك لين ك  أصحاب الخصور المحاطة ب الشحوم يواجهون مخاطر مضاعفة ل لإصابة ب أمراض القلب 
0,وزير العمل السعودي يقول ان ه لن تصدر تأشيرات عمل ل من امضوا اكثر من ست سنوات في البلاد  و ذلك ل توفير فرص العمل ل لسعوديين و وزارت ه تصدر بيانا يقول ان ذلك ينطبق على المؤسسات التي لا تلتزم ب تحقيق نسب السعودة في ها  و ذلك ل دفع ها كي تحسن من اوضاع ها ,قيود على تأشيرات العمل ل لوافدين ل توفير الفرص ل لمحليين 
